"COUNTRY_CODE","INDICATOR","UNIT","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"ISL","Price to rent ratio","Index",100,105.188807892062,121.090521828086,124.708108434297,123.205074596412,126.632452862715,138.175378599947,159.507312214938,NA
"GRC","Price to rent ratio","Index",100,100.246547352136,101.515644181536,106.749191269962,114.456172119314,119.601174937056,128.540747614492,141.950899207712,NA
"SVK","Price to rent ratio","Index",100,106.439409951162,112.3654721567,120.301936885438,130.533281307533,140.867443856895,148.548320156358,162.224242722674,NA
"CZE","Price to rent ratio","Index",100,105.893629393983,115.803757801076,122.132943746642,128.517237887666,135.168804717511,157.992397573099,176.053062427362,NA
"TUR","Price to rent ratio","Index",100,104.575873860325,105.783874012225,103.80072717726,98.5097028624234,110.833402808883,137.208027537969,267.778942233342,NA
"ITA","Price to rent ratio","Index",100,99.949746733347,98.6815199396024,97.761454449162,97.3963228984355,99.0135054718976,101.485461835273,104.175750253093,NA
"SWE","Price to rent ratio","Index",100,107.308082980524,113.528622520959,111.413176331501,112.422241375016,115.37073643717,125.474419951656,127.878699422927,NA
"SVN","Price to rent ratio","Index",100,101.58783205732,104.480965891205,106.950358571448,109.488713695124,117.298936209155,126.235317761504,121.834652543865,NA
"DEU","Price to rent ratio","Index",100,106.319255010284,111.281488155202,116.932867763375,121.926267910466,129.555319944073,142.595638448477,147.680444193244,NA
"NOR","Price to rent ratio","Index",100,104.990819124731,107.940984926772,107.634086932741,108.316631610663,111.261301465908,121.380404729912,125.065569103482,NA
"FIN","Price to rent ratio","Index",100,99.0135862703694,98.083479865478,97.1587590014706,95.6454044169167,95.9872927336873,99.5720747563207,99.7559719674454,NA
"NLD","Price to rent ratio","Index",100,102.903527367674,108.708515003501,116.697348042065,122.205548733554,128.013441220261,144.635366204501,161.087453526284,NA
"AUT","Price to rent ratio","Index",100,105.309737723978,106.464555720591,107.480629475256,110.447615345192,114.233865254079,126.019152126379,139.187685815552,NA
"POL","Price to rent ratio","Index",100,100.542695872282,101.365854338961,104.046462616979,107.768692321216,112.897112859906,118.55064291319,116.086129429668,NA
"RUS","Price to rent ratio","Index",100,100.17662325772,104.323607325757,109.351245445574,110.944388554838,132.487837035798,154.354300465369,NA,NA
"COL","Price to rent ratio","Index",100,105.746972948305,108.294579552956,110.313309657184,112.969547666718,113.548283490018,118.677112960419,123.932852398001,NA
"LTU","Price to rent ratio","Index",100,95.2161564444739,103.340394161297,104.835213794531,104.046655744802,108.697963526958,123.877205009914,127.085844852531,NA
"BGR","Price to rent ratio","Index",100,106.378430427966,114.455294190347,119.73216588789,122.927677828621,125.356554819237,134.006616688581,143.381164527339,NA
"ROU","Price to rent ratio","Index",100,105.03154735083,109.687790033817,113.032273109256,113.913320158235,116.632486570461,118.729277870559,121.290312260053,NA
"HRV","Price to rent ratio","Index",100,101.991366883723,106.181623540108,109.850351924921,114.136761479058,120.275441105267,128.465705417054,142.962406159331,NA
"NOTE:","Data extracted on 27 Mar 2024 06:23 UTC (GMT) from OECD.Stat.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
